epoch,train_loss,val_accuracy,val_macro_f1,lr
1,0.495820840613003,0.9316576519249125,0.9192272368649026,0.0006
2,0.3454896097981205,0.9371301304486159,0.9250722013878103,0.0006
3,0.2859919596359357,0.9405663378937321,0.927645299641366,0.0006
4,0.24766039888622754,0.9386573337575564,0.9251108236713959,0.0006
5,0.22616452022860842,0.9383391664015273,0.9239853584561037,0.0003
6,0.19930346398225704,0.9405027044225263,0.9273398768101362,0.0003
7,0.1854934542648298,0.9417117403754375,0.9294093115453655,0.0003
8,0.18161293157278371,0.9443207126948775,0.9319575803830251,0.0003
9,0.17862050372221305,0.943238943684378,0.9305698896525515,0.0003
10,0.17695295077087358,0.9399300031816735,0.926892306524807,0.00015
11,0.17265243165368352,0.943684377982819,0.9310314379816821,0.00015
12,0.1703328051442096,0.9444479796372892,0.932450601343529,0.00015
13,0.1691380394588379,0.9440661788100541,0.931715471627161,0.00015
14,0.16843098293320208,0.9429844097995546,0.9299654908612703,7.5e-05
